,transaction_id,user_id,client_id,size,product_id,date,size_1_id,size_2_id,size_3_id,confidence_1,confidence_2,confidence_3,is_outlier,prediction_model,height,weight,waist,age,bra_band,bra_cup,user_action
50,221930353,2d410f00-2a88-11ec-b2ef-21fcebb79e1c,spacesuit & co.,S,8115,2021-10-11,S,XS,M,0.25,0.32,0.53,False,space_suit,164,51.0,,60.0,75.0,A,close_application
51,240570885,c4dcc930-2583-11ec-a6b6-ed638ca11914,spacesuit & co.,M,6726,2021-10-05,M,S,L,0.22,0.41,0.44,False,space_suit,5’ 6”,140.0,,28.0,36.0,DD,close_application
52,660831673,af218030-49fb-11ec-8d81-7fa37fbc66c2,spacesuit & co.,S,2305,2021-11-26,S,M,XS,0.08,0.26,0.38,False,space_suit,177,75.0,32.0,31.0,,,close_application
53,263782071,c113bb50-21f6-11ec-8f72-eb7868e982aa,spacesuit & co.,M,5652,2021-09-30,S,XS,M,0.18,0.29,0.41,False,space_gloves,183,75.0,30.0,18.0,,,close_application
54,377215255,e3127280-1d57-11ec-bc13-5dfd1ffdba92,spacesuit & co.,L,9524,2021-09-24,L,M,XL,0.12,0.36,0.55,False,space_helmet,5’ 9”,155.0,,62.0,36.0,D,close_application
55,141448151,18bb4c90-5070-11ec-a0b2-f9bd4021027f,spacesuit & co.,S,2305,2021-11-28,S,M,XS,0.26,0.36,0.43,False,space_suit,170,72.0,32.0,42.0,,,close_application
56,734626818,ccc4d490-5557-11ec-8a21-b9b32d72add9,spacesuit & co.,S,7787,2021-12-04,M,L,S,0.56,0.56,0.75,False,space_suit,149.86,62.0,,47.0,70.0,D,close_application
57,376436898,410ae620-4246-11ec-9897-49b4f5ac1cbb,spacesuit & co.,M,6726,2021-11-11,M,L,S,0.18,0.44,0.46,False,space_suit,167.64000000000001,68.0,,14.0,70.0,F,got_recommendation
58,347673661,ccc54680-699f-11ec-b3c4-8962a3039ed0,spacesuit & co.,L,2941,2021-12-30,XL,2XL,L,0.26,0.53,0.71,False,space_suit,182,120.0,36.0,39.0,,,got_recommendation
59,252711306,ac0be890-24a8-11ec-8d9e-5b731044021a,spacesuit & co.,M,9565,2021-10-04,S,M,XS,0.29,0.46,0.48,False,space_suit,192,74.0,32.0,38.0,,,got_recommendation
60,151764083,344763e0-5430-11ec-8fe8-3f11b7880070,spacesuit & co.,2XL,1273,2021-12-03,L,XL,M,0.31,0.35,0.6,False,space_underwear,183,100.0,38.0,50.0,,,close_application
61,586088583,d267a140-26ac-11ec-a605-f1a7946ab2d5,spacesuit & co.,2XL,8681,2021-10-06,2XL,XL,3XL,0.5,0.77,1.01,False,space_underwear,158,90.0,,37.0,90.0,E,got_recommendation
62,571723536,5013ce80-60c2-11ec-8448-9d3d61b6aeb9,spacesuit & co.,L,4466,2021-12-20,L,XL,M,0.19,0.31,0.59,False,space_socks,5’ 8”,176.0,,35.0,34.0,E,close_application
63,258685007,0c606f90-2864-11ec-9c29-474e476b1ca7,spacesuit & co.,L,5463,2021-10-08,S,M,XS,0.47,0.48,0.75,False,space_suit,179,75.0,38.0,50.0,,,close_application
64,542178649,f6d06800-4074-11ec-a13b-d3e3beaf7d17,spacesuit & co.,L,5463,2021-11-30,M,S,L,0.14,0.3,0.49,False,space_suit,185.42000000000002,81.0,34.0,25.0,,,close_application
65,978534038,0cd50130-3155-11ec-8b9a-cfe2684314be,spacesuit & co.,M,1273,2021-10-20,S,M,XS,0.33,0.35,0.64,False,space_underwear,195,80.0,33.0,32.0,,,close_application
66,622739629,6a0b9a10-56b4-11ec-8d88-6746c264aad4,spacesuit & co.,M,1417,2021-12-06,L,M,XL,0.2,0.49,0.51,False,space_gloves,172.72,76.0,33.0,50.0,,,close_application
67,823932303,c173d860-2867-11ec-8dd1-59a9f8c5d311,spacesuit & co.,L,8681,2021-10-12,L,M,XL,0.35,0.44,0.8,False,space_underwear,5’ 3”,150.0,,31.0,34.0,C,close_application
68,362107579,7b030e40-3501-11ec-a7c5-b369fe15e76f,spacesuit & co.,S,6067,2021-10-25,S,XS,M,0.17,0.26,0.52,False,space_suit,5’ 3”,110.0,,29.0,34.0,B,close_application
69,495184404,c5e086a0-68b8-11ec-89bd-8b7fbd794371,spacesuit & co.,L,9952,2021-12-29,M,L,S,0.19,0.27,0.51,False,space_gloves,182,90.0,34.0,21.0,,,close_application
70,101762682,b41aeeb0-5391-11ec-96e7-e72547eb32ad,spacesuit & co.,XL,5652,2021-12-03,L,M,XL,0.27,0.5,0.62,False,space_gloves,6’ 5”,220.0,36.0,25.0,,,close_application
71,823078428,1af9e790-2984-11ec-834d-3d12cfa99adc,spacesuit & co.,XS,8115,2021-10-10,S,M,XS,0.13,0.31,0.47,False,space_suit,5’ 2”,120.0,,33.0,32.0,D,close_application
72,572841701,ae041080-37ab-11ec-b086-c934084a833b,spacesuit & co.,M,8145,2021-10-28,XL,L,2XL,0.63,0.75,0.75,False,space_suit,5’ 2”,160.0,,37.0,36.0,D,close_application
73,285835511,506ec340-3100-11ec-8fad-0dbeb3d9b5e3,spacesuit & co.,S,2905,2021-10-19,S,XS,M,0.36,0.4,0.68,False,space_suit,5’ 0”,112.0,,48.0,34.0,B,close_application
74,955100802,3b010d30-54f8-11ec-baa6-8b3c593d5747,spacesuit & co.,M,3986,2021-12-04,M,S,L,0.25,0.3,0.48,False,space_underwear,182,78.0,36.0,20.0,,,close_application
75,152209810,cda23f40-3579-11ec-965f-41769fda848a,spacesuit & co.,L,5463,2021-10-25,L,M,XL,0.49,0.51,0.95,False,space_suit,155,83.0,34.0,54.0,,,close_application
76,439733581,85053500-5a2a-11ec-ad97-3942a7752989,spacesuit & co.,XS,6067,2021-12-11,S,XS,M,0.22,0.33,0.45,False,space_suit,160,50.0,,30.0,95.0,D,close_application
77,825750284,0ac04940-44a1-11ec-baec-91901f4209b7,spacesuit & co.,L,5652,2021-11-13,L,M,XL,0.22,0.27,0.65,False,space_gloves,182,90.0,36.0,21.0,,,close_application
78,813653377,34a91cd0-51c8-11ec-a792-ab1254491e73,spacesuit & co.,XS,2905,2021-11-30,XS,S,2XS,0.11,0.3,0.34,False,space_suit,5’ 4”,117.0,,25.0,34.0,A,close_application
79,199155906,35896b20-255c-11ec-83f8-29e0ed059f6c,spacesuit & co.,XS,2905,2021-10-04,XS,2XS,S,0.18,0.3,0.51,False,space_suit,5’ 2”,105.0,,25.0,30.0,A,close_application
80,561788763,57a32d60-49db-11ec-a26e-13e8e48eaf82,spacesuit & co.,XL,9565,2021-11-21,L,XL,M,0.33,0.41,0.68,False,space_suit,188,97.0,40.0,46.0,,,close_application
81,276500323,8f411550-5612-11ec-b5ed-6daad1b254ec,spacesuit & co.,XL,6484,2021-12-16,XL,L,2XL,0.2,0.24,0.73,False,space_suit,6’ 1”,238.0,34.0,50.0,,,close_application
82,574304309,3924c200-17c1-11ec-8214-070a7488feab,spacesuit & co.,M,6839,2021-09-17,S,M,XS,0.26,0.28,0.56,False,space_suit,6’ 2”,180.0,32.0,26.0,,,close_application
83,860442809,c778bdc0-6692-11ec-a0b0-377014ca0535,spacesuit & co.,XL,5125,2021-12-26,,,,,,,True,space_gloves,,100.0,50.0,21.0,,,close_application
84,814343999,39260ec0-24ec-11ec-bddf-e1e1f18cf0c8,spacesuit & co.,L,1273,2021-10-04,M,L,S,0.36,0.46,0.67,False,space_underwear,183,83.0,40.0,28.0,,,got_recommendation
85,910394705,688974c0-5531-11ec-aad3-c72479543baf,spacesuit & co.,L,1273,2021-12-04,L,M,XL,0.67,0.72,0.85,False,space_underwear,168,80.0,40.0,72.0,,,close_application
86,894502159,c5a2e910-42b3-11ec-b52b-3358c3ec5a04,spacesuit & co.,L,5463,2021-11-11,M,S,L,0.16,0.39,0.41,False,space_suit,187.96,84.0,35.0,19.0,,,close_application
87,823221210,3d286d60-2d61-11ec-bbda-7ddca1e77b13,spacesuit & co.,XS,8662,2021-10-15,XS,S,2XS,0.13,0.27,0.44,False,space_underwear,5’ 3”,109.0,,37.0,32.0,B,got_recommendation
88,117866372,bf3270e0-4845-11ec-84ea-e504dc6f75f5,spacesuit & co.,M,2305,2021-11-30,XS,S,2XS,0.14,0.3,0.46,False,space_suit,181,70.0,30.0,17.0,,,close_application
89,346345964,b03eb110-1fab-11ec-b2a8-abb3f25b8902,spacesuit & co.,M,9952,2021-09-27,M,S,L,0.24,0.28,0.6,False,space_gloves,6’ 2”,185.0,32.0,18.0,,,got_recommendation
90,344768865,75cea7e0-5c66-11ec-94fe-4f2547db3bc7,spacesuit & co.,M,8681,2021-12-13,S,M,XS,0.05,0.31,0.32,False,space_underwear,5’ 7”,130.0,,28.0,34.0,A,close_application
91,883153472,592c88b0-6025-11ec-89c6-956baec19f2b,spacesuit & co.,XL,9339,2021-12-18,M,S,L,0.29,0.36,0.46,False,space_socks,6’ 2”,168.0,34.0,50.0,,,close_application
92,494841856,a500e010-38ca-11ec-8b12-bb9f98c3b0a5,spacesuit & co.,S,4466,2021-10-29,S,M,XS,0.06,0.31,0.33,False,space_socks,5’ 7”,130.0,,21.0,32.0,C,close_application
93,366999946,eb68e140-628e-11ec-a1c5-abcc203bf115,spacesuit & co.,L,1335,2021-12-21,L,XL,M,0.17,0.42,0.47,False,space_gloves,182,100.0,36.0,21.0,,,got_recommendation
94,771857476,b60e9250-3cdd-11ec-8b30-c9d74c95ddcf,spacesuit & co.,M,6726,2021-11-03,M,S,L,0.06,0.37,0.45,False,space_suit,5’ 7”,145.0,,30.0,34.0,C,got_recommendation
95,466077536,a945dcd0-46ac-11ec-8e4b-6b40db2b1fe2,spacesuit & co.,M,9510,2021-11-16,M,S,L,0.25,0.29,0.58,False,space_gloves,178,62.0,,51.0,80.0,B,close_application
96,324092472,f7e74cb0-27fe-11ec-b924-4df798f8a833,spacesuit & co.,L,4466,2021-10-08,L,M,XL,0.07,0.4,0.51,False,space_socks,5’ 9”,167.0,,28.0,36.0,D,got_recommendation
97,405559232,ab5d83e0-5860-11ec-9f54-adc56a924a6e,spacesuit & co.,XL,6312,2021-12-08,XL,L,2XL,0.25,0.28,0.96,False,space_suit,5’ 8”,210.0,36.0,40.0,,,got_recommendation
98,803939808,6185acf0-4e30-11ec-9569-d3b176edf946,spacesuit & co.,L,9656,2021-11-25,L,XL,M,0.17,0.44,0.46,False,space_gloves,178,76.0,,31.0,100.0,E,close_application
99,322335248,54fd8030-348f-11ec-a18e-890c43f2b0d6,spacesuit & co.,2XL,6839,2021-10-24,2XL,XL,3XL,0.3,0.7,0.7,False,space_suit,179,120.0,50.0,42.0,,,close_application
100,357007931,de9da660-39aa-11ec-aabb-195522bbb09b,spacesuit & co.,M,3893,2021-10-30,M,S,L,0.43,0.46,0.86,False,space_underwear,4’ 11”,125.0,,21.0,34.0,D,got_recommendation
101,819914906,01f3fc00-1939-11ec-b131-07406d1e5a13,spacesuit & co.,L,3893,2021-09-19,L,XL,M,0.49,0.53,0.72,False,space_underwear,5’ 4”,159.0,,41.0,36.0,F,got_recommendation
102,982351598,97aadbf0-496e-11ec-a2a8-bd7f7e0c44b5,spacesuit & co.,L,2316,2021-11-19,L,XL,M,0.13,0.49,0.57,False,space_gloves,5’ 8”,170.0,,22.0,38.0,G,got_recommendation
103,666959063,30f4f460-1a23-11ec-b51b-2f4930d5f7fa,spacesuit & co.,2XL,1417,2021-09-20,2XL,3XL,XL,0.17,0.66,0.67,False,space_gloves,5’ 5”,250.0,36.0,45.0,,,close_application
104,137083479,ea4aa250-59c2-11ec-b0fb-ed882f14bbdc,spacesuit & co.,M,6312,2021-12-10,S,M,XS,0.31,0.32,0.44,False,space_suit,170.18,63.0,32.0,60.0,,,close_application
105,721188437,32b94b70-38f5-11ec-82a1-2b57a49ba9fb,spacesuit & co.,XL,1273,2021-10-29,XL,L,2XL,0.2,0.26,0.79,False,space_underwear,185,108.0,36.0,22.0,,,close_application
106,892157594,33e98210-4a90-11ec-b988-4bee67121346,spacesuit & co.,L,3472,2021-11-21,L,XL,M,0.25,0.34,0.69,False,space_suit,183,84.0,,21.0,100.0,C,close_application
107,520727299,8661bac0-3cbd-11ec-be5b-6124a966aa62,spacesuit & co.,S,6104,2021-11-03,S,M,XS,0.19,0.4,0.49,False,space_suit,5’ 8”,154.0,33.0,27.0,,,close_application
108,966531951,dd932be0-267d-11ec-b90f-d7b014692a93,spacesuit & co.,L,8145,2021-10-06,L,XL,M,0.33,0.36,0.54,False,space_suit,169,72.0,,48.0,85.0,D,close_application
109,542244239,b785e840-24f0-11ec-81c6-e794d0086aed,spacesuit & co.,M,6726,2021-10-04,M,S,L,0.2,0.33,0.49,False,space_suit,176,60.0,,46.0,75.0,C,close_application
110,137352092,b400dba0-5f45-11ec-8fd0-9b624bd441e4,spacesuit & co.,M,2766,2021-12-17,M,L,S,0.19,0.34,0.54,False,space_suit,5’ 7”,141.0,,28.0,34.0,C,got_recommendation
111,192756212,a7339b80-65a1-11ec-aaac-2fd104aada64,spacesuit & co.,XL,2684,2021-12-25,XL,2XL,L,0.58,0.59,0.89,False,space_gloves,5’ 3”,185.0,,71.0,38.0,DD,close_application
112,164740347,ddceba20-4e91-11ec-b5b0-233695ecda9b,spacesuit & co.,XS,6726,2021-11-26,XS,S,2XS,0.08,0.37,0.46,False,space_suit,168,50.0,,24.0,70.0,C,close_application
113,792650988,96ced7b0-34d1-11ec-874d-dd8aa7817389,spacesuit & co.,XS,4466,2021-10-24,2XS,XS,S,0.29,0.33,0.56,False,space_socks,5’ 2”,98.0,,49.0,34.0,DD,close_application
114,209248148,7e3e5d30-4f5a-11ec-b539-eff3b8e51240,spacesuit & co.,XL,6312,2021-11-27,XL,L,2XL,0.25,0.29,0.96,False,space_suit,190,106.0,36.0,43.0,,,close_application
115,369342354,3e664eb0-352f-11ec-9e86-5f3a8e97ea95,spacesuit & co.,L,4466,2021-10-25,L,M,XL,0.53,0.63,0.94,False,space_socks,5’ 0”,140.0,,34.0,36.0,DD,close_application
116,486933841,5f22e640-36a1-11ec-ab95-213b7b36d61c,spacesuit & co.,2XS,6656,2021-10-30,XS,S,2XS,0.05,0.33,0.4,False,space_suit,5’ 4”,125.0,28.0,20.0,,,close_application
117,624771337,a1288bf0-663d-11ec-bf2b-7dcd6aa798a2,spacesuit & co.,M,4564,2021-12-26,S,XS,M,0.16,0.3,0.37,False,space_gloves,179,57.0,,51.0,75.0,A,got_recommendation
118,868520533,f5fdbc60-60fa-11ec-8404-6f73e47f568f,spacesuit & co.,L,1762,2021-12-19,XL,L,2XL,0.25,0.35,0.83,False,space_gloves,5’ 6”,176.0,,56.0,38.0,C,close_application
119,418619092,895c6230-2f8d-11ec-abc2-ad38032365cf,spacesuit & co.,2XS,3740,2021-10-17,2XS,XS,S,0.19,0.3,0.55,False,space_suit,5’ 2”,88.0,,23.0,34.0,AA,got_recommendation
120,622934900,35739e00-5845-11ec-b4bd-0f7afe2582f0,spacesuit & co.,L,7787,2021-12-13,L,XL,M,0.27,0.32,0.63,False,space_suit,167,76.0,,50.0,110.0,C,close_application
121,184226890,2927c0d0-5f7b-11ec-9430-c7cebff60c12,spacesuit & co.,2XS,6067,2021-12-19,XS,S,2XS,0.11,0.39,0.4,False,space_suit,154,46.0,,20.0,70.0,A,close_application
122,141607100,94bffc50-1e11-11ec-a9fc-fb1fbe313a2c,spacesuit & co.,S,8145,2021-09-25,S,M,XS,0.33,0.45,0.65,False,space_suit,5’ 2”,130.0,,26.0,32.0,A,close_application
123,599111014,479d3a80-20a2-11ec-addb-2d3eb49a1500,spacesuit & co.,M,6656,2021-09-29,M,L,S,0.2,0.29,0.54,False,space_suit,174,74.0,36.0,18.0,,,close_application
124,599111014,479d3a80-20a2-11ec-addb-2d3eb49a1500,spacesuit & co.,S,8115,2021-09-29,S,M,XS,0.19,0.34,0.55,False,space_suit,5’ 6”,126.0,,18.0,36.0,A,close_application
125,890555668,4c6baac0-5882-11ec-ac43-8facc3446194,spacesuit & co.,S,6839,2021-12-09,S,XS,M,0.15,0.17,0.43,False,space_suit,178,69.0,34.0,50.0,,,close_application
126,599245665,e3e1e320-205a-11ec-9a9a-376acf4ff191,spacesuit & co.,M,6656,2021-09-28,M,L,S,0.26,0.35,0.62,False,space_suit,179,75.0,30.0,24.0,,,close_application
127,993548580,ee8c14f0-2c01-11ec-b16b-eb90e1313747,spacesuit & co.,XS,6104,2021-10-13,XS,2XS,S,0.23,0.27,0.6,False,space_suit,5’ 8”,120.0,27.0,20.0,,,got_recommendation
128,113160343,02cb0150-3a86-11ec-a4e1-410b461fa2a2,spacesuit & co.,L,8681,2021-10-31,L,XL,M,0.44,0.46,0.66,False,space_underwear,5’ 5”,160.0,,45.0,36.0,DDD,close_application
129,576216256,07e61c40-46c7-11ec-aa91-f334dea0decd,spacesuit & co.,S,1906,2021-12-07,S,XS,M,0.18,0.3,0.34,False,space_suit,5’ 8”,165.0,32.0,40.0,,,close_application
130,153682873,58162df0-2f15-11ec-b197-7dfba9036c26,spacesuit & co.,S,3676,2021-10-17,S,XS,M,0.1,0.41,0.42,False,space_suit,168,58.0,,36.0,75.0,B,got_recommendation
